iter	Passed	Remaining
969	17173	531
970	17183	513
971	17195	495
972	17206	477
973	17216	459
974	17227	441
975	17237	423
976	17248	406
977	17258	388
978	17268	370
979	17280	352
980	17291	334
981	17302	317
982	17314	299
983	17326	281
984	17337	264
985	17348	246
986	17360	228
987	17372	210
988	17383	193
989	17395	175
990	17407	158
991	17418	140
992	17430	122
993	17440	105
994	17451	87
995	17461	70
996	17471	52
997	17482	35
998	17493	17
999	17504	0
974	43062	1104
975	43092	1059
976	43114	1014
977	43133	970
978	43149	925
979	43166	880
980	43193	836
981	43211	792
982	43227	747
983	43242	703
984	43255	658
985	43270	614
986	43283	570
987	43299	525
988	43316	481
989	43332	437
990	43347	393
991	43361	349
992	43375	305
993	43390	261
994	43405	218
995	43420	174
996	43435	130
997	43451	87
998	43466	43
999	43481	0
